dt_venda,loja,uf,produto,canal_venda,tipo_venda,vlr_venda,qt_venda,qt_dias_com_estoque,qt_dias_sem_estoque,qt_dias_com_estoque_aberta,qt_dias_sem_estoque_aberta,qt_dias_loja_fechada,estoque_loja,habilitador
2023-05-19,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,14,0,12,0,2,4,1
2023-03-23,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,0,21,0,17,4,0,1
2023-07-19,ABC18575,PR,Produto X,LOJA,PROMOCAO,117.0,0,21,0,1,0,20,1,1
2023-07-23,ABC18575,PR,Produto X,LOJA,PROMOCAO,117.0,0,21,0,1,0,20,1,1
2023-03-23,ABC18575,PR,Produto Z,LOJA,PROMOCAO,264.0,0,21,0,17,0,4,2,1
2023-03-02,ABC18575,PR,Produto Z,LOJA,PROMOCAO,263.0,0,21,0,16,0,5,2,1
2023-06-02,ABC18575,PR,Produto X,LOJA,PROMOCAO,104.0,0,15,0,12,0,3,4,1
2023-03-13,ABC18575,PR,Produto Z,LOJA,PROMOCAO,264.0,0,21,0,17,0,4,2,1
2023-01-19,ABC18575,PR,Produto Z,LOJA,PROMOCAO,206.0,0,28,0,24,0,4,3,1
2023-06-11,ABC18575,PR,Produto X,LOJA,PROMOCAO,104.0,0,15,0,12,0,3,2,1
2023-02-11,ABC18575,PR,Produto Z,LOJA,PROMOCAO,259.0,0,21,0,17,0,4,2,1
2023-04-15,ABC18575,PR,Produto X,LOJA,REGULAR,122.0,0,21,0,17,0,4,2,1
2023-01-25,ABC18575,PR,Produto Z,LOJA,PROMOCAO,259.0,0,21,0,17,0,4,3,1
2023-05-26,ABC18575,PR,Produto Z,LOJA,PROMOCAO,266.0,0,14,0,12,0,2,1,1
2023-03-26,ABC18575,PR,Produto Z,LOJA,PROMOCAO,264.0,0,21,0,17,0,4,2,1
2023-01-17,ABC18575,PR,Produto Z,LOJA,PROMOCAO,206.0,0,28,0,24,0,4,3,1
2023-07-07,ABC18575,PR,Produto Z,LOJA,PROMOCAO,253.0,0,5,16,1,0,20,1,1
2023-07-15,ABC18575,PR,Produto Z,LOJA,PROMOCAO,253.0,0,5,16,1,0,20,0,1
2023-03-15,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,0,21,0,17,4,0,1
2023-05-12,ABC18575,PR,Produto Z,LOJA,REGULAR,266.0,0,28,0,22,0,6,3,1
2023-06-13,ABC18575,PR,Produto Z,LOJA,PROMOCAO,265.0,0,20,0,16,0,4,1,1
2023-02-21,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,0,21,0,16,5,0,1
2023-05-02,ABC18575,PR,Produto Z,LOJA,REGULAR,266.0,0,28,0,22,0,6,3,1
2023-05-20,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,14,0,12,0,2,4,1
2023-04-22,ABC18575,PR,Produto X,LOJA,PROMOCAO,124.9,1,22,6,18,4,6,1,1
2023-04-02,ABC18575,PR,Produto Z,LOJA,REGULAR,264.0,0,21,0,17,0,4,3,1
2023-06-23,ABC18575,PR,Produto Z,LOJA,PROMOCAO,265.0,0,20,0,16,0,4,1,1
2023-06-07,ABC18575,PR,Produto Z,LOJA,REGULAR,265.0,0,15,0,12,0,3,1,1
2023-01-04,ABC18575,PR,Produto Z,LOJA,PROMOCAO,206.0,0,28,0,24,0,4,3,1
2023-03-02,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,0,21,0,16,5,0,1
2023-02-06,ABC18575,PR,Produto Z,LOJA,PROMOCAO,259.0,0,21,0,17,0,4,2,1
2023-04-01,ABC18575,PR,Produto X,LOJA,REGULAR,122.0,0,21,0,17,0,4,4,1
2023-01-26,ABC18575,PR,Produto Z,LOJA,PROMOCAO,259.0,0,21,0,17,0,4,3,1
2023-04-11,ABC18575,PR,Produto X,LOJA,REGULAR,122.0,0,21,0,17,0,4,3,1
2023-06-15,ABC18575,PR,Produto Z,LOJA,PROMOCAO,265.0,0,20,0,16,0,4,1,1
2023-03-26,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,0,21,0,17,4,0,1
2023-06-26,ABC18575,PR,Produto Z,LOJA,PROMOCAO,265.0,0,20,0,16,0,4,1,1
2023-06-01,ABC18575,PR,Produto Z,LOJA,REGULAR,265.0,0,15,0,12,0,3,1,1
2023-01-01,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,13,15,11,13,4,0,1
2023-04-30,ABC18575,PR,Produto Z,LOJA,REGULAR,266.0,0,28,0,22,0,6,3,1
2023-05-08,ABC18575,PR,Produto X,LOJA,PROMOCAO,115.0,0,22,6,18,4,6,6,0
2023-04-03,ABC18575,PR,Produto Z,LOJA,REGULAR,264.0,0,21,0,17,0,4,3,1
2023-03-21,ABC18575,PR,Produto Z,LOJA,PROMOCAO,264.0,0,21,0,17,0,4,2,1
2023-03-28,ABC18575,PR,Produto X,LOJA,REGULAR,122.0,0,21,0,17,0,4,5,1
2023-06-29,ABC18575,PR,Produto Z,LOJA,PROMOCAO,265.0,0,20,0,16,0,4,1,1
2023-07-10,ABC18575,PR,Produto Z,LOJA,PROMOCAO,253.0,0,5,16,1,0,20,0,1
2023-04-13,ABC18575,PR,Produto X,LOJA,REGULAR,122.0,0,21,0,17,0,4,2,1
2023-04-16,ABC18575,PR,Produto X,LOJA,REGULAR,122.0,0,21,0,17,0,4,2,1
2023-06-20,ABC18575,PR,Produto Z,LOJA,PROMOCAO,265.0,0,20,0,16,0,4,1,1
2023-02-10,ABC18575,PR,Produto X,LOJA,PROMOCAO,113.0,0,6,15,5,12,4,0,1
2023-07-14,ABC18575,PR,Produto X,LOJA,PROMOCAO,117.0,0,21,0,1,0,20,1,1
2023-03-19,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,0,21,0,17,4,0,1
2023-02-24,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,0,21,0,16,5,0,1
2023-06-17,ABC18575,PR,Produto Z,LOJA,PROMOCAO,265.0,0,20,0,16,0,4,1,1
2023-01-21,ABC18575,PR,Produto Z,LOJA,PROMOCAO,206.0,0,28,0,24,0,4,3,1
2023-05-27,ABC18575,PR,Produto Z,LOJA,PROMOCAO,266.0,0,14,0,12,0,2,1,1
2023-02-04,ABC18575,PR,Produto Z,LOJA,PROMOCAO,269.9,1,21,0,17,0,4,2,1
2023-06-19,ABC18575,PR,Produto X,LOJA,PROMOCAO,122.0,0,20,0,16,0,4,1,1
2023-04-09,ABC18575,PR,Produto Z,LOJA,REGULAR,264.0,0,21,0,17,0,4,3,1
2023-06-03,ABC18575,PR,Produto X,LOJA,PROMOCAO,104.0,0,15,0,12,0,3,4,1
